system,parameter,parameter_value,algorithm,seed,speedup,communication_overhead,load_balance,mq,algorithm_runtime_s,measurement_type
demo_eight_class,number_of_modules,2.0,DTMC-GA,5,2.6470585139983953,0.07310299137568511,0.9330383933680375,9.8994,0.03395990719982365,phase3B_sensitivity_model_sweep
demo_eight_class,number_of_modules,3.0,DTMC-GA,5,2.7149318092291232,0.07310299137568511,0.9330383933680375,9.8994,0.03395990719982365,phase3B_sensitivity_model_sweep
demo_eight_class,number_of_modules,4.0,DTMC-GA,5,2.6470585139983953,0.07310299137568511,0.9330383933680375,9.8994,0.03395990719982365,phase3B_sensitivity_model_sweep
demo_eight_class,number_of_modules,5.0,DTMC-GA,5,2.579185218767667,0.07310299137568511,0.9330383933680375,9.8994,0.03395990719982365,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,0.5,DTMC-GA,6,2.7714667050462976,0.06303667037074452,0.827342888643881,7.325200000000001,0.03387627299998712,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,1.0,DTMC-GA,6,2.717124220633625,0.06303667037074452,0.827342888643881,7.325200000000001,0.03387627299998712,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,2.0,DTMC-GA,6,2.6084392518082797,0.06303667037074452,0.827342888643881,7.325200000000001,0.03387627299998712,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,4.0,DTMC-GA,6,2.39106931415759,0.06303667037074452,0.827342888643881,7.325200000000001,0.03387627299998712,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.04,DTMC-GA,6,2.693213527492049,0.06303667037074452,0.827342888643881,7.325200000000001,0.03387627299998712,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.08,DTMC-GA,6,2.717124220633625,0.06303667037074452,0.827342888643881,7.325200000000001,0.03387627299998712,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.16,DTMC-GA,6,2.669302834350473,0.06303667037074452,0.827342888643881,7.325200000000001,0.03387627299998712,phase3B_sensitivity_model_sweep
demo_eight_class,mutation_rate,0.24,DTMC-GA,6,2.621481448067321,0.06303667037074452,0.827342888643881,7.325200000000001,0.03387627299998712,phase3B_sensitivity_model_sweep
demo_eight_class,number_of_modules,2.0,DTMC-GA,6,2.649196115117784,0.06303667037074452,0.827342888643881,7.325200000000001,0.03387627299998712,phase3B_sensitivity_model_sweep
demo_eight_class,number_of_modules,3.0,DTMC-GA,6,2.717124220633625,0.06303667037074452,0.827342888643881,7.325200000000001,0.03387627299998712,phase3B_sensitivity_model_sweep
demo_eight_class,number_of_modules,4.0,DTMC-GA,6,2.649196115117784,0.06303667037074452,0.827342888643881,7.325200000000001,0.03387627299998712,phase3B_sensitivity_model_sweep
demo_eight_class,number_of_modules,5.0,DTMC-GA,6,2.5812680096019434,0.06303667037074452,0.827342888643881,7.325200000000001,0.03387627299998712,phase3B_sensitivity_model_sweep
demo_eight_class,communication_latency,0.5,DTMC-GA,7,2.7980148066536756,0.08033510549573954,0.8133402183672235,9.5602,0.033696783599953054,phase3B_sensitivity_model_sweep
