system,algorithm,seed,generation,best_fitness,median_fitness,diversity,elapsed_s
plugin_platform_24,DTMC-GA,3,3,6.304666446188007,6.152980044109432,0.15025252525252536,0.05307138500029396
plugin_platform_24,DTMC-GA,3,4,6.397731646530606,6.242901807127611,0.15782828282828282,0.06527798600109236
plugin_platform_24,DTMC-GA,3,5,6.492621049410478,6.36624363574325,0.11111111111111112,0.08280495200051519
plugin_platform_24,DTMC-GA,3,6,6.53542785449025,6.397731646530606,0.08522727272727272,0.09650271400096244
plugin_platform_24,DTMC-GA,3,7,6.579161106093328,6.474961601811723,0.10101010101010102,0.10884668200014858
plugin_platform_24,DTMC-GA,4,0,6.320188089832771,5.7376152681582475,0.8106060606060606,0.014822471999650588
plugin_platform_24,DTMC-GA,4,1,6.361461652445061,5.973626972393846,0.5909090909090909,0.02718950399867026
plugin_platform_24,DTMC-GA,4,2,6.576294933028235,6.352689938329698,0.17613636363636362,0.03926278600010846
plugin_platform_24,DTMC-GA,4,3,6.660536869214766,6.532125561260557,0.2083333333333334,0.05176124599893228
plugin_platform_24,DTMC-GA,4,4,6.777220955600262,6.637597598654498,0.17992424242424246,0.0636725939984899
plugin_platform_24,DTMC-GA,4,5,6.777220955600262,6.716938472759957,0.15088383838383831,0.07578734699927736
plugin_platform_24,DTMC-GA,4,6,6.777220955600262,6.777220955600262,0.027777777777777776,0.0888111360000039
plugin_platform_24,DTMC-GA,4,7,6.777220955600262,6.777220955600262,0.020833333333333325,0.10216902799948002
plugin_platform_24,DTMC-GA,5,0,6.3622829080621495,5.198315144458904,0.7891414141414144,0.015262482998878113
plugin_platform_24,DTMC-GA,5,1,6.572376031633168,6.137615734188409,0.6654040404040403,0.027389875000153552
plugin_platform_24,DTMC-GA,5,2,6.572376031633168,6.093367078770373,0.48547979797979796,0.039124867998907575
plugin_platform_24,DTMC-GA,5,3,6.572376031633168,6.463215707599639,0.4185606060606061,0.05159087999891199
plugin_platform_24,DTMC-GA,5,4,6.572376031633168,6.572376031633168,0.15277777777777782,0.06332121499872301
plugin_platform_24,DTMC-GA,5,5,6.572376031633168,6.572376031633168,0.013888888888888885,0.07513793099860777
plugin_platform_24,DTMC-GA,5,6,6.572376031633168,6.572376031633168,0.013888888888888885,0.09203808499842125
plugin_platform_24,DTMC-GA,5,7,6.572376031633168,6.572376031633168,0.020833333333333325,0.10585763999915798
plugin_platform_24,DTMC-GA,6,0,6.275002821589607,5.67555429674302,0.7998737373737372,0.015134862000195426
plugin_platform_24,DTMC-GA,6,1,6.275002821589607,5.75550358875564,0.6281565656565657,0.026951096999255242
plugin_platform_24,DTMC-GA,6,2,6.317673668699326,6.0410752872306634,0.36616161616161624,0.03932770299979893
plugin_platform_24,DTMC-GA,6,3,6.317673668699326,6.317673668699326,0.029671717171717182,0.05124783400060551
plugin_platform_24,DTMC-GA,6,4,6.317673668699326,6.317673668699326,0.026515151515151512,0.06349747099920933
plugin_platform_24,DTMC-GA,6,5,6.619635019991246,6.317673668699326,0.02777777777777779,0.07693937799922423
plugin_platform_24,DTMC-GA,6,6,6.619635019991246,6.317673668699326,0.02651515151515153,0.09125295599915262
plugin_platform_24,DTMC-GA,6,7,6.674785597495589,6.328521150447246,0.06313131313131314,0.10436779200063029
plugin_platform_24,DTMC-GA,7,0,6.0222693004020735,5.660447392013862,0.7998737373737377,0.01490604699938558
plugin_platform_24,DTMC-GA,7,1,6.190833486025801,5.94188598328353,0.5681818181818183,0.027475234001030913
plugin_platform_24,DTMC-GA,7,2,6.382959249561287,6.143183753135159,0.30997474747474735,0.0399534730004234
plugin_platform_24,DTMC-GA,7,3,6.515136360334326,6.190833486025801,0.2683080808080809,0.05249684100090235
plugin_platform_24,DTMC-GA,7,4,6.691741858170963,6.438447708315704,0.14520202020202022,0.06460719800088555
plugin_platform_24,DTMC-GA,7,5,6.691741858170963,6.515136360334326,0.14962121212121213,0.07936123699983
plugin_platform_24,DTMC-GA,7,6,6.691741858170963,6.633910710219884,0.05492424242424246,0.09250743099983083
plugin_platform_24,DTMC-GA,7,7,6.691741858170963,6.691741858170963,0.020833333333333325,0.10440698099955625
plugin_platform_24,DTMC-GA,8,0,6.306357479930944,5.435307654461764,0.7922979797979799,0.012807945000531618
