system,algorithm,metric,count,mean,median,sd,ci95,min,max
demo_eight_class,FCA,algorithm_runtime_s,30,0.00121836829997235,0.00119272850042755,0.00010786482196550038,4.0277386462237734e-05,0.0011155270003655,0.0016661350000504
demo_eight_class,RandomValidPartition,speedup,30,1.896586053327844,1.85533382363782,0.38043242636419133,0.14205580262616302,1.1881065691597004,2.7149318092291232
demo_eight_class,RandomValidPartition,communication_overhead,30,0.08486332109343123,0.0850262065465856,0.03659230390235127,0.01366379083525533,0.0,0.1402443751659199
demo_eight_class,RandomValidPartition,load_balance,30,0.7404407352099702,0.7486985890332575,0.18149402816143723,0.06777098390042806,0.3551607515851859,1.0
demo_eight_class,RandomValidPartition,mq,30,8.792433333333337,12.997,6.4563557495206085,2.410842857964437,0.0,15.797
demo_eight_class,RandomValidPartition,algorithm_runtime_s,30,0.0009781865000452602,0.00095381899973285,8.490345580313425e-05,3.170347142886044e-05,0.0009023769998748,0.0012970200004929
demo_eight_class,TraditionalMQ,speedup,30,2.508978397421538,2.508978397421537,9.033620566533923e-16,3.37320935668795e-16,2.508978397421537,2.508978397421537
demo_eight_class,TraditionalMQ,communication_overhead,30,0.083071581108733,0.083071581108733,0.0,0.0,0.083071581108733,0.083071581108733
demo_eight_class,TraditionalMQ,load_balance,30,0.898436446019939,0.8984364460199388,2.2584051416334807e-16,8.433023391719875e-17,0.8984364460199388,0.8984364460199388
demo_eight_class,TraditionalMQ,mq,30,15.230000000000002,15.23,1.8067241133067846e-15,6.7464187133759e-16,15.23,15.23
demo_eight_class,TraditionalMQ,algorithm_runtime_s,30,0.0013931549667176568,0.00135652500011925,0.00010146917361123518,3.788921211820827e-05,0.0012984220011276,0.0017057250006473
event_pipeline_16,Bunch,speedup,30,2.350675838115463,2.3520459383398995,0.37213534276872096,0.1389576206944194,1.6475364756212498,3.3920026918240995
event_pipeline_16,Bunch,communication_overhead,30,0.10664109269954301,0.10794335896630125,0.02083106078281635,0.0077784459314846136,0.0650546891191367,0.1528848872330453
